experience_level,years_experience,employment_type,company_size,remote_ratio,benefits_score,job_description_length,skill_count
1,2,0,1,50,6.5,1495,3
0,0,1,0,0,5.7,1494,5
2,7,0,1,100,7.1,1406,3
3,15,0,2,0,7.9,1754,3
2,8,0,2,0,9.4,2178,3
1,2,0,1,0,7.3,1642,3
3,13,0,2,100,8.3,971,5
3,18,0,2,100,8.9,925,4
0,0,1,0,50,5.8,967,5
1,2,0,2,0,9.6,715,5
1,4,0,1,50,7.7,919,3
1,3,1,0,0,6.5,563,3
3,16,0,0,100,6.8,1793,3
3,18,0,2,100,8.6,1286,5
2,9,1,1,100,5.2,1355,3
2,6,0,2,50,6.2,909,4
2,7,0,2,0,8.5,855,3
2,5,0,0,50,6.4,1512,4
1,3,0,2,50,6.0,1230,4
0,0,0,2,100,6.8,1150,4
3,17,0,2,50,6.5,1164,3
0,1,1,0,100,9.8,2248,5
1,2,0,2,50,5.9,2290,3
2,5,1,0,100,8.8,1799,3
3,10,0,2,50,9.1,2233,4
3,18,0,2,50,5.9,2365,4
3,12,0,2,100,7.8,521,4
1,2,0,1,100,7.3,894,3
0,0,0,0,50,9.0,2264,3
3,10,1,2,100,9.4,1908,4
2,8,1,1,0,9.2,826,3
1,4,0,1,0,7.1,898,5
0,0,0,0,0,6.1,770,3
0,0,0,2,50,5.4,1900,4
0,1,0,2,0,8.9,802,4
0,1,0,2,100,6.3,1966,5
3,15,1,2,0,7.0,555,4
3,14,1,0,50,6.1,1731,4
0,0,0,2,50,8.1,1347,4
0,0,0,0,50,6.5,1688,4
3,14,1,1,0,9.7,1714,3
3,17,0,1,100,6.5,1291,3
3,18,0,0,50,6.2,1081,4
2,7,0,1,0,5.8,1803,5
2,8,0,2,100,7.6,2372,5
0,1,0,2,50,8.9,1856,5
2,9,0,0,50,7.3,2462,4
1,2,0,1,0,7.2,1046,5
3,13,1,0,50,9.2,2114,4
3,11,1,2,50,6.5,1479,4
2,6,0,0,0,10.0,1735,4
0,0,0,2,100,9.8,1216,3
0,0,0,2,50,9.1,2426,4
0,1,0,0,0,7.5,718,4
1,3,0,0,0,6.4,2435,5
1,2,0,2,100,5.4,1350,5
1,3,0,0,0,8.5,792,3
1,4,0,2,50,5.9,1745,5
2,7,1,1,100,7.0,1103,4
3,12,0,2,0,7.4,661,3
1,4,0,2,100,7.8,1197,5
3,12,1,1,100,8.5,1524,3
1,4,0,2,0,6.4,1206,4
2,5,0,2,0,6.4,1924,3
0,0,0,2,0,9.7,1786,4
2,8,1,0,100,9.0,1690,4
0,0,0,0,0,6.2,1984,5
0,0,1,2,100,9.2,1013,5
0,0,0,1,0,6.5,649,4
0,0,0,2,100,8.4,2317,5
3,11,0,1,50,7.6,1910,4
1,3,0,2,100,5.5,1277,4
0,1,0,2,0,9.3,1408,5
2,8,0,1,100,7.0,2330,4
1,4,0,0,0,6.6,762,4
0,0,0,0,50,8.9,2495,3
1,3,0,2,100,9.7,795,5
0,0,1,0,50,8.6,1192,4
1,3,0,2,100,9.1,965,4
1,4,0,1,50,7.5,2029,4
2,8,1,1,0,5.4,841,3
3,12,0,1,100,8.3,704,3
3,10,1,0,50,6.4,2415,3
1,4,0,0,100,5.6,790,5
0,1,0,2,100,9.4,1570,3
3,11,0,2,50,5.4,1305,3
2,7,0,0,50,8.8,1957,5
0,1,0,0,50,9.0,2467,3
0,0,0,0,50,5.4,1389,3
3,10,0,1,0,7.3,1540,3
1,3,0,1,0,7.6,537,4
2,5,1,2,100,6.4,651,3
0,1,1,0,100,5.1,1360,3
2,5,0,0,100,9.4,905,4
2,6,0,0,0,7.5,1106,3
0,1,0,2,50,7.0,1823,5
2,7,1,0,100,6.2,2451,4
1,2,0,1,100,5.4,625,3
1,3,1,2,50,9.7,533,4
1,2,0,0,50,8.2,1103,5
3,17,0,1,0,9.8,1113,5
3,13,0,2,50,6.1,1273,5
1,2,0,0,50,5.7,612,3
3,14,0,2,0,5.1,1319,3
0,0,0,1,50,9.9,1661,3
3,12,1,0,0,7.7,2145,4
3,16,1,0,100,8.6,2023,5
0,1,0,1,50,5.3,1584,4
3,13,0,0,50,7.5,2143,3
3,16,0,1,100,6.9,917,5
0,1,0,0,0,8.0,1090,3
3,11,1,2,0,7.3,731,5
2,6,0,1,50,7.0,1798,5
2,7,0,2,0,7.0,1775,5
3,14,1,0,50,6.9,2196,5
2,9,0,2,50,10.0,2101,5
2,9,1,1,50,5.7,1017,5
2,9,0,2,100,9.0,2163,3
0,0,0,2,50,6.2,1864,4
0,1,1,0,100,7.3,588,4
3,15,0,1,50,6.8,848,4
1,3,0,2,50,5.4,1835,4
0,0,1,0,100,8.3,2419,4
2,7,0,1,50,6.7,1859,4
1,2,0,2,50,5.2,1095,5
3,19,0,1,100,6.5,2112,4
0,0,1,0,50,8.1,1872,5
2,8,1,0,0,9.4,1554,5
3,16,0,1,50,5.0,2395,4
1,3,1,0,100,6.8,583,4
0,0,0,1,100,7.4,1445,3
0,0,0,0,50,8.8,708,5
2,8,1,2,0,9.8,2105,5
0,0,1,0,50,7.4,1339,3
1,4,0,1,50,7.9,886,5
2,7,1,1,0,6.5,1535,3
0,1,0,0,100,7.8,2067,4
2,8,0,2,100,6.3,561,3
0,1,0,1,100,6.5,2347,5
1,4,1,0,100,5.7,2424,3
3,17,0,0,100,9.9,640,4
2,9,0,2,50,7.1,2434,3
0,0,0,1,100,7.7,1757,3
2,5,1,0,50,9.1,2204,3
1,3,0,1,100,9.2,2264,3
1,4,0,1,100,6.1,1480,4
1,2,0,1,100,6.6,1510,3
1,3,0,1,100,5.2,2289,3
2,5,0,1,0,8.2,1010,5
3,12,1,1,50,9.5,2258,4
1,2,1,1,50,9.9,2386,5
3,19,0,1,50,9.4,1555,4
2,7,0,2,0,6.2,1218,5
3,14,0,1,100,8.6,930,4
1,4,0,1,50,6.2,2471,5
1,2,1,0,0,7.1,665,3
0,0,0,1,0,6.2,1381,3
3,14,0,0,100,6.4,1544,4
2,9,0,2,50,5.7,1610,5
1,2,0,2,50,6.2,1931,3
2,9,1,0,100,9.1,825,5
1,4,0,1,0,9.3,1784,4
1,4,0,2,100,9.5,1658,3
2,7,0,0,100,7.3,999,4
0,1,0,0,0,7.0,2292,5
1,2,0,1,0,9.6,810,3
3,17,0,1,50,9.9,751,3
3,10,0,0,50,5.0,719,4
2,6,0,2,0,5.5,2065,4
2,9,1,2,0,5.3,954,5
1,4,1,0,100,8.2,808,4
0,0,0,1,50,7.1,1021,4
1,2,1,1,0,9.4,2312,5
0,1,0,1,0,8.5,1328,3
0,1,0,0,100,8.5,1590,5
1,4,0,1,0,5.9,2445,4
1,3,1,1,100,8.5,1608,3
0,1,0,1,0,5.8,1562,4
3,16,0,0,0,9.1,958,5
3,14,0,2,50,9.2,1947,3
3,11,0,0,100,9.6,1011,5
0,1,0,0,50,7.3,1965,4
1,4,0,0,0,7.7,1874,3
2,5,0,1,100,9.8,1987,4
1,4,0,1,50,6.7,1477,3
3,11,0,1,100,6.6,847,5
2,6,0,0,100,5.6,2383,5
3,13,0,1,0,5.5,1621,4
3,19,0,1,0,6.7,1589,4
0,1,0,1,50,7.7,2082,5
3,12,0,1,50,8.5,2026,4
1,3,1,2,0,8.6,1361,3
3,12,0,1,100,9.2,1733,5
1,4,0,0,50,9.7,795,4
2,7,0,2,0,6.8,2332,4
3,16,1,1,100,6.5,889,5
2,7,0,1,0,6.0,1087,3
3,19,0,0,0,5.6,815,5
2,5,1,2,0,9.1,2467,5
3,10,1,0,0,7.7,2044,3
2,5,0,0,50,7.3,2136,4
1,3,1,0,50,6.8,2397,3
2,9,0,1,0,9.4,1149,3
2,6,0,2,100,7.9,2176,4
3,15,0,2,100,10.0,1979,4
3,19,0,2,0,9.6,829,3
0,0,0,0,0,7.9,1076,4
1,4,0,0,100,6.2,1522,3
0,0,1,1,100,8.6,1144,4
1,3,0,2,100,7.9,2236,3
0,1,0,2,0,5.9,1625,4
2,8,1,2,0,5.6,2036,3
3,17,0,0,50,9.1,2295,4
2,8,0,0,50,6.8,2152,5
3,19,0,2,100,5.2,1481,3
0,1,1,0,100,5.2,2045,5
2,9,0,1,0,6.4,2068,3
0,0,0,0,0,8.2,1751,3
0,0,1,2,100,9.3,924,4
1,2,0,0,50,5.7,1184,5
0,0,0,1,0,8.0,1506,3
1,3,1,2,100,7.8,1945,3
0,1,0,0,0,8.6,2195,5
1,2,1,1,0,9.6,1591,4
2,8,0,1,100,7.2,2224,3
0,1,0,1,50,7.1,1105,3
3,12,0,0,50,8.8,2341,5
3,10,0,2,100,5.6,1021,3
0,1,0,0,100,9.2,1905,5
1,2,0,1,0,5.1,1169,5
1,3,0,0,100,9.9,688,5
1,2,0,0,50,6.0,1576,4
1,3,1,1,100,9.8,1710,5
0,1,0,0,50,9.4,1754,5
0,1,0,2,0,9.2,1730,5
3,19,0,2,0,9.9,2225,5
2,8,0,0,0,7.0,618,3
2,6,1,0,0,7.3,967,5
2,7,0,1,100,5.9,1706,5
1,3,0,1,50,7.1,2362,4
1,4,1,0,50,5.9,1040,3
3,19,1,0,0,9.4,2068,3
0,0,0,2,50,8.4,2180,5
3,11,0,2,0,5.1,2402,4
1,4,0,0,100,6.8,504,4
0,0,0,0,50,7.3,2042,3
1,4,0,2,0,7.2,1158,4
0,1,0,2,100,8.7,901,4
0,1,0,2,100,9.7,1693,5
1,3,0,1,100,8.0,1575,3
2,9,0,0,50,8.5,2407,3
3,12,1,0,0,7.4,2160,3
3,16,0,1,0,9.0,2053,3
0,1,1,0,100,5.5,633,5
0,0,1,2,0,9.9,2311,3
2,9,0,0,0,9.3,1948,5
3,13,0,0,100,8.0,1542,3
2,7,0,1,100,7.3,2488,4
0,1,1,1,0,8.4,2365,3
0,1,0,1,0,5.5,1462,5
2,8,1,0,100,6.8,1611,5
0,1,0,2,100,7.4,938,4
1,2,1,1,0,9.0,2443,5
0,1,1,1,50,5.3,1770,5
1,2,0,0,0,5.6,2039,3
2,9,0,0,0,5.7,751,5
3,12,1,0,0,9.9,1836,5
2,9,0,1,100,10.0,982,4
3,16,1,0,0,8.7,1620,3
0,0,0,0,50,7.3,1901,3
0,0,1,1,50,5.1,1536,5
2,5,1,1,50,5.5,912,5
3,19,1,2,0,9.0,1196,4
3,19,0,2,0,9.3,2339,4
0,1,0,2,0,8.0,1716,3
2,8,1,2,0,8.6,2243,4
0,1,1,2,50,9.4,2190,5
2,7,0,2,0,8.2,2436,3
3,15,1,0,50,9.6,1354,4
0,0,1,0,0,8.0,1326,4
3,13,1,2,0,7.5,580,5
1,2,0,1,0,6.3,2311,5
0,0,0,2,100,7.3,1706,4
2,9,1,0,50,9.4,1577,3
1,4,0,2,50,5.3,1504,4
3,11,0,2,50,5.3,587,5
3,19,0,2,50,6.9,1933,3
2,6,1,2,100,9.9,1169,3
1,3,1,2,0,5.1,1141,3
3,14,0,2,50,5.1,1379,3
0,0,0,1,50,8.5,2046,4
1,4,0,0,50,7.1,1440,3
3,18,1,2,0,7.0,1748,3
2,5,1,1,100,8.5,762,5
0,1,1,2,0,8.7,1059,4
0,1,1,2,50,8.7,1638,5
2,7,1,1,50,7.1,1010,3
1,3,0,0,50,5.7,2490,5
0,1,1,1,0,5.7,2084,5
2,5,0,1,50,6.8,575,4
3,13,1,0,0,8.9,618,3
2,5,0,2,100,9.4,594,3
1,2,0,0,50,7.6,1996,5
0,1,1,0,50,5.6,1015,4
3,15,0,1,100,8.1,2257,5
3,17,0,1,100,6.8,823,3
1,4,1,0,0,9.0,1990,5
3,17,1,2,50,9.6,1603,5
3,18,0,1,100,7.1,2277,4
0,1,0,2,100,10.0,1965,4
2,6,0,0,50,5.7,1397,5
2,8,0,0,0,6.1,652,5
0,0,0,1,50,5.9,1357,5
2,6,0,0,100,6.9,979,3
3,11,0,2,100,5.3,929,5
3,15,0,0,0,8.6,2148,4
2,8,1,1,100,9.7,790,5
2,7,0,2,50,9.2,616,3
3,11,0,1,0,5.7,1823,5
0,1,1,0,100,6.0,1938,4
0,1,0,1,50,6.4,1453,4
3,10,1,2,0,6.4,540,5
2,7,0,0,0,8.7,1561,5
1,2,0,2,50,5.1,535,4
2,7,0,2,100,7.8,2209,5
1,2,1,0,100,7.2,797,5
0,1,1,1,50,7.6,1074,4
2,6,1,1,50,7.8,1592,4
2,9,1,0,0,9.9,1593,4
0,0,0,0,50,7.0,1638,4
2,9,0,1,100,6.0,1880,5
0,1,0,2,50,6.0,1505,5
1,4,0,0,100,5.3,1790,5
2,8,0,1,50,8.3,1574,3
2,9,0,2,100,7.3,1285,3
2,8,0,1,0,7.8,1021,5
0,1,1,0,0,9.0,1991,3
1,2,0,2,0,8.0,2419,4
3,15,1,1,50,5.5,2087,4
0,1,1,2,50,5.5,1293,3
1,4,1,2,100,7.9,2055,4
2,6,0,0,50,5.1,531,3
0,0,0,2,50,9.3,983,5
3,11,0,0,0,9.4,2242,3
2,8,1,0,0,7.1,958,4
2,6,0,0,0,9.9,2041,3
1,2,0,0,0,9.0,1652,4
0,0,0,2,50,8.4,2054,4
2,7,1,0,0,6.5,1637,3
0,0,0,0,100,9.0,2415,4
0,1,1,2,100,8.0,1988,4
3,18,1,0,100,5.4,1128,4
3,19,0,1,100,9.8,703,3
3,13,0,1,0,7.5,692,4
3,11,0,1,100,7.2,675,5
2,7,0,2,0,5.0,1604,5
0,1,1,0,0,6.6,696,4
2,5,0,2,0,6.7,1131,4
2,7,0,2,50,6.7,2049,4
3,18,0,1,100,9.7,857,3
1,3,0,2,100,8.1,1164,3
2,8,0,2,50,8.6,770,5
2,6,1,2,100,7.2,2371,3
1,2,0,0,50,9.2,1909,3
3,10,0,1,0,7.9,1691,4
0,0,0,1,100,7.0,1761,4
2,6,1,0,0,8.0,1629,5
2,6,0,2,100,7.5,1761,4
3,17,1,1,100,8.4,2143,4
0,1,0,1,100,9.7,1878,4
2,7,0,0,0,8.4,1040,5
0,0,1,2,0,6.1,2085,3
1,2,0,2,100,7.2,548,4
1,2,0,0,100,9.0,1797,4
2,5,0,0,0,8.7,507,3
2,8,0,1,50,8.4,2446,4
0,1,0,1,50,7.2,1802,5
1,2,0,1,50,5.9,1004,5
0,1,0,0,0,6.8,758,3
2,9,0,0,0,6.5,2337,3
3,18,0,2,0,7.4,1115,5
3,13,0,2,0,9.0,1755,4
1,4,0,2,100,7.6,2337,4
1,3,0,1,50,6.1,2321,4
2,5,0,0,50,6.2,1882,4
2,8,0,2,0,8.7,2358,4
2,5,0,1,100,8.3,1352,3
3,19,0,2,50,9.3,1778,3
1,4,0,2,100,9.0,909,3
0,1,0,2,100,5.4,784,4
2,9,0,1,50,9.7,1920,3
3,19,0,0,100,6.3,2495,3
3,10,0,2,50,9.8,2232,4
3,18,0,2,50,5.7,1299,4
2,9,1,2,0,9.7,1390,3
0,0,0,0,100,8.6,707,4
2,9,0,0,0,9.5,967,5
3,13,0,2,100,8.2,841,5
0,0,0,0,50,7.3,2483,5
2,5,0,2,0,7.0,1835,4
3,18,0,1,0,6.2,1756,4
1,3,0,0,100,5.4,1120,4
2,7,1,1,0,7.6,652,5
3,13,0,2,0,5.7,825,5
1,2,0,0,0,9.2,1056,4
3,14,0,1,100,8.5,1351,3
0,0,1,1,100,8.7,942,3
3,16,0,1,0,8.5,676,4
1,2,0,1,0,9.5,697,4
3,15,1,2,100,8.2,1647,5
0,1,0,0,0,6.1,1176,4
3,12,0,1,50,8.4,912,3
3,19,1,2,50,7.8,1568,5
2,6,1,0,0,8.4,647,5
0,0,0,0,100,7.9,1609,4
1,4,1,0,100,7.8,971,4
2,5,0,1,50,7.2,1216,4
2,7,1,0,100,5.8,1781,4
2,5,1,0,0,5.4,1209,4
1,2,0,0,100,5.6,1760,4
3,18,1,0,100,9.5,1126,3
1,2,0,2,50,5.3,1133,4
0,0,0,0,50,6.4,701,3
0,1,0,2,0,6.5,2063,5
3,15,0,2,100,9.8,2168,3
1,3,1,2,100,9.9,2451,3
0,0,0,1,0,7.8,1433,5
1,3,0,0,100,6.9,1668,3
2,8,0,2,0,6.2,2186,4
1,2,0,2,0,8.1,1865,3
1,3,1,2,50,7.4,1069,5
1,2,0,2,0,7.9,685,3
1,2,0,0,100,8.9,2299,3
1,2,1,1,100,6.3,1883,4
1,2,0,2,50,6.4,1350,3
0,1,1,1,0,9.5,690,5
2,6,1,2,50,8.7,1902,5
1,2,1,2,100,5.6,2484,5
2,5,1,2,100,9.3,1242,4
1,2,1,1,50,8.8,574,3
1,3,0,2,100,8.9,794,4
3,16,0,0,50,8.3,1840,4
3,11,1,0,0,9.3,671,3
3,16,0,1,50,8.1,1725,3
2,5,0,0,50,6.5,2370,4
2,5,1,0,100,6.6,2333,3
1,3,0,1,100,7.7,2059,4
2,6,0,0,100,9.6,1289,3
0,1,1,0,0,8.3,781,3
0,0,0,2,50,9.5,1534,3
2,7,0,0,100,6.4,2239,4
2,5,0,0,100,7.2,1281,3
0,1,0,2,50,6.7,1915,5
2,7,1,0,0,5.3,2129,5
1,4,0,0,0,8.3,2403,5
3,18,0,2,50,5.7,1979,5
0,0,0,2,50,9.3,999,4
3,16,0,0,0,6.6,2298,5
2,8,0,2,100,9.2,591,5
1,2,1,0,0,5.0,1941,3
3,15,1,2,100,5.9,2411,3
1,2,0,2,100,6.5,2257,4
2,8,0,2,0,7.1,2409,3
2,5,0,0,100,8.3,1121,3
2,5,0,2,100,7.3,1236,5
0,1,0,0,0,6.4,1903,4
0,1,0,1,0,9.2,812,5
2,6,0,1,50,8.0,947,5
2,9,1,0,50,9.0,1814,5
1,4,0,1,100,8.8,1813,3
2,6,0,2,50,5.4,1381,4
2,6,1,2,100,7.6,1445,4
3,14,1,2,0,8.3,2235,5
3,17,1,2,50,7.6,884,5
1,2,0,1,0,7.4,1055,3
3,11,1,0,100,9.0,563,3
3,16,0,1,0,8.3,785,3
0,0,0,0,50,8.6,2474,3
1,4,1,0,0,8.4,1045,5
3,12,1,0,0,8.3,503,5
3,18,0,0,50,6.7,2088,5
3,15,0,0,0,9.5,2404,5
2,7,0,2,100,9.9,1834,3
0,1,0,2,0,8.4,1382,4
2,9,1,0,0,6.1,1603,4
2,7,0,1,100,7.8,1076,5
3,19,0,2,50,5.0,1468,5
3,17,0,2,50,7.3,1527,3
0,1,0,1,100,7.8,986,5
3,18,0,2,0,9.5,878,3
3,15,0,0,50,5.1,534,5
0,0,0,0,100,5.6,1676,4
3,10,0,1,50,9.1,2021,3
2,7,0,0,0,6.0,716,3
1,4,0,2,50,5.7,1727,3
3,13,0,2,0,7.3,522,4
3,15,0,0,100,9.3,1466,4
3,19,0,2,50,8.1,1421,3
1,2,0,1,50,6.5,2256,3
3,18,1,2,50,5.1,1101,3
1,3,0,2,0,10.0,1779,4
2,7,1,0,0,9.7,1404,5
1,4,1,2,50,7.7,1526,4
3,19,0,0,100,5.7,1873,4
1,2,0,0,50,6.5,1999,3
2,9,0,0,0,6.4,1868,3
2,7,0,2,50,8.6,944,5
0,1,0,1,100,6.0,1265,4
0,0,0,1,100,5.4,2321,4
3,14,0,2,50,8.8,909,4
0,0,0,2,100,9.3,984,5
2,6,0,0,0,6.3,588,4
1,4,0,2,100,9.3,2293,3
0,0,0,1,0,7.8,2065,5
1,4,0,2,0,8.4,2073,4
0,0,0,2,0,6.8,1570,3
1,3,1,1,50,7.2,1266,4
1,2,1,0,50,6.0,1253,5
2,9,1,0,50,6.9,2184,5
0,1,0,1,50,9.5,2220,3
0,0,0,2,0,5.7,1542,3
1,4,0,1,50,9.5,2309,5
2,8,1,2,0,6.4,941,5
3,13,1,2,0,6.4,625,5
1,4,1,2,0,6.9,1914,4
0,0,1,0,50,8.5,2052,4
1,3,0,1,0,5.1,990,3
2,7,1,0,50,5.6,1642,4
0,1,0,0,50,5.0,1865,4
1,2,1,0,0,7.4,2166,3
3,15,0,0,50,5.3,1440,5
0,0,1,1,50,5.7,824,4
0,0,1,2,50,5.8,1893,3
3,13,1,2,100,7.6,2256,4
1,3,1,2,50,6.4,756,4
2,8,1,2,50,8.6,1116,5
2,7,1,0,100,8.3,847,5
1,4,0,0,50,6.3,688,4
2,9,0,1,0,7.0,2213,5
0,1,1,1,50,6.1,952,3
0,0,0,1,50,9.1,2008,4
2,5,0,0,50,5.6,2322,3
0,0,0,2,100,5.5,1727,4
0,0,0,0,0,9.0,1893,3
3,14,0,0,50,5.2,1771,3
0,1,1,0,0,7.1,1998,5
0,1,1,0,100,6.0,925,3
0,0,0,2,50,7.8,1290,4
3,11,0,2,50,9.2,566,4
3,15,1,0,50,5.1,770,5
0,1,0,2,100,7.2,1288,3
0,1,0,1,50,8.5,2173,3
1,4,1,2,50,7.6,1181,5
1,4,0,0,100,9.4,919,4
2,5,0,1,100,7.6,2321,5
0,0,0,2,100,7.2,1248,3
3,10,0,2,100,5.2,667,3
2,8,0,2,0,9.3,1238,3
1,2,0,1,100,9.3,554,5
3,17,0,2,0,8.3,828,4
3,11,0,1,100,9.0,618,5
3,12,0,2,100,6.0,892,3
3,10,0,2,100,5.8,1064,3
3,16,1,0,50,6.2,2384,3
2,5,0,2,50,6.5,1675,3
2,5,0,0,100,9.1,1733,3
0,1,0,2,50,6.6,1903,3
2,9,0,0,100,5.2,2277,4
3,12,0,1,100,8.4,2143,4
0,1,0,0,50,8.3,2139,5
0,0,0,2,100,6.2,2281,5
3,13,0,1,50,8.5,1511,3
3,12,0,1,100,8.8,1079,4
1,2,0,0,100,5.6,2272,3
3,11,0,2,100,7.0,1226,4
1,3,0,1,100,9.3,1924,3
2,7,0,2,50,7.8,1013,4
0,0,0,1,0,9.4,2261,3
1,2,0,2,50,9.9,1736,5
2,9,1,1,100,8.1,986,5
3,10,0,0,0,5.7,1076,3
2,6,0,1,50,9.8,1037,4
1,3,0,0,100,6.8,2253,3
1,3,0,0,0,7.6,1464,5
0,0,0,0,50,9.1,1248,5
3,10,0,2,0,5.5,617,3
1,3,0,1,0,6.9,2007,5
0,0,0,2,50,7.1,1402,5
1,3,1,0,0,7.0,637,3
2,5,1,0,50,7.7,941,5
1,2,0,1,100,8.0,1115,3
1,4,1,2,100,6.4,892,5
0,0,0,0,50,6.9,2304,5
1,3,0,2,100,7.0,2408,3
0,1,0,2,100,5.8,1070,5
1,3,1,1,100,5.9,2423,5
0,1,1,0,0,8.5,596,3
1,4,1,2,100,6.5,2242,3
2,9,0,1,100,5.4,1355,4
3,18,0,2,100,6.8,2496,4
3,16,1,2,0,6.5,1678,4
3,16,0,2,100,6.9,1691,4
0,0,0,1,100,8.4,1586,4
1,3,0,1,50,8.9,1362,3
2,6,0,0,100,9.6,901,3
3,19,0,1,100,6.8,1687,3
1,2,0,2,100,7.8,762,4
1,2,1,1,100,9.6,898,5
3,19,1,1,100,10.0,1656,5
3,15,1,1,100,7.5,1635,3
2,7,1,2,0,6.0,914,4
3,18,0,1,100,9.9,1191,5
0,1,0,0,50,6.2,1095,5
1,3,0,2,0,5.6,826,5
2,7,0,2,0,6.3,1836,3
1,4,0,0,100,6.7,1577,4
0,1,0,1,0,6.4,975,5
1,2,1,2,100,6.4,1620,3
2,9,0,0,100,7.7,2223,4
3,12,0,1,0,6.5,2412,4
3,14,0,1,0,5.9,873,5
3,13,0,2,50,9.3,2185,3
1,3,1,1,0,6.4,1646,5
3,11,1,1,0,7.3,902,5
2,8,1,2,50,9.9,1749,3
1,3,1,0,0,5.4,1166,4
3,14,0,2,50,9.7,848,4
3,10,1,0,0,5.6,2096,4
2,6,0,1,100,5.4,1031,3
3,16,1,2,50,5.6,853,3
1,3,0,2,0,7.6,633,5
1,3,1,0,50,6.2,1323,5
2,6,0,1,0,5.6,2482,4
1,3,0,1,100,7.1,2033,4
2,7,1,1,0,6.2,976,4
3,13,0,1,50,6.9,1118,3
0,0,1,2,100,8.5,637,4
2,9,0,1,0,8.3,756,4
0,0,1,1,50,9.2,913,3
0,1,0,0,0,8.7,702,4
1,2,0,0,0,9.8,1811,4
0,1,0,2,50,10.0,856,4
2,9,0,1,0,5.0,1192,5
3,17,0,2,100,5.6,1364,4
3,12,1,2,100,7.4,638,5
0,0,0,1,100,5.9,1003,3
3,13,0,1,100,8.1,1498,4
1,4,1,2,50,7.9,1059,5
3,18,0,0,100,9.3,1419,4
3,11,1,0,50,8.4,1889,4
1,3,0,0,100,7.7,2422,3
0,1,0,0,100,7.4,508,3
0,1,0,1,0,8.8,2250,5
3,10,0,0,100,7.6,2232,3
1,2,0,0,50,9.1,2471,3
3,16,0,1,0,7.0,2043,4
2,5,0,1,50,8.9,1850,4
3,15,1,2,0,6.0,2160,3
2,8,1,0,50,7.2,1758,3
0,0,0,0,100,9.7,1203,3
2,8,0,1,0,6.0,1117,4
2,9,0,2,50,9.6,2133,5
1,2,0,0,0,5.7,1534,3
0,0,0,2,50,9.6,1694,4
2,5,0,0,0,6.2,917,3
3,15,0,1,0,8.6,1775,5
0,0,1,0,0,5.4,2095,3
1,3,0,2,50,8.5,869,3
3,14,1,1,50,7.2,675,4
2,5,1,0,50,6.2,1856,3
1,4,0,2,50,7.2,2308,3
1,2,0,2,0,7.4,1017,5
2,7,0,1,100,9.4,1855,5
1,4,0,2,100,9.3,929,5
3,14,1,2,0,6.8,1934,5
3,19,0,0,50,9.8,1457,3
2,5,0,2,100,9.0,2178,5
0,1,1,1,100,8.6,2499,5
0,1,0,1,100,6.3,734,3
0,0,1,0,0,8.5,2446,5
0,1,0,1,100,9.0,1165,4
2,5,0,2,50,9.7,810,5
1,4,0,0,50,6.7,1798,3
0,1,1,1,50,8.8,853,5
1,4,0,1,50,5.1,2099,4
2,6,0,0,50,5.8,1160,3
0,1,0,0,0,8.8,709,5
0,0,1,1,50,5.9,671,3
0,0,0,0,50,6.9,1277,3
0,1,0,0,100,8.0,1962,4
2,5,1,2,50,5.5,1332,5
1,4,0,2,0,7.3,958,3
1,4,0,2,0,8.8,1014,3
1,3,0,0,50,9.4,799,4
0,0,0,0,0,7.2,776,5
1,4,1,2,100,8.6,1940,3
1,2,1,1,100,7.5,1871,4
0,0,0,2,100,7.9,1277,3
2,9,0,2,100,8.9,886,3
3,11,0,2,0,9.0,625,3
3,17,1,2,50,6.7,1183,3
1,3,1,2,50,9.7,980,5
0,0,1,2,100,9.4,1379,3
0,0,0,1,50,8.0,2039,5
1,4,0,2,0,9.9,1024,4
0,0,0,2,0,9.4,1874,3
0,1,0,2,100,9.0,544,3
1,4,1,1,100,7.2,1572,4
3,17,1,1,50,10.0,2041,3
1,4,0,1,100,7.1,1143,3
3,12,0,2,100,5.1,2269,3
3,18,0,0,0,8.6,2453,3
0,1,0,2,0,8.9,2412,4
2,7,0,0,50,5.7,1140,4
3,15,0,1,0,6.6,1268,3
3,16,1,1,50,6.7,1230,5
1,4,0,2,0,7.7,1636,3
1,2,0,2,100,7.8,1078,4
2,9,1,0,0,5.4,1322,5
1,4,0,1,100,8.8,846,3
1,3,1,0,0,5.6,1199,4
3,16,0,0,0,8.4,1004,5
2,5,0,0,50,6.3,1666,4
0,1,0,0,50,8.2,2043,5
1,2,0,2,0,6.4,616,5
3,15,0,2,0,7.5,728,3
2,9,0,1,0,6.3,2368,4
1,3,0,0,100,7.1,1707,4
2,6,0,2,50,6.2,835,3
0,1,1,1,100,5.5,1330,3
2,5,0,0,0,6.6,1640,3
1,3,0,2,50,7.2,2105,5
0,1,1,0,100,5.1,2203,5
0,1,1,1,50,9.6,674,3
3,13,0,2,0,6.9,1659,3
0,1,0,2,0,7.1,1990,4
1,4,0,0,50,5.3,2084,3
3,18,1,2,0,5.5,1202,5
1,3,0,0,100,7.0,963,3
0,1,0,2,50,8.9,1161,3
2,7,0,1,50,5.7,2162,5
2,9,1,1,0,7.2,1874,3
3,13,1,1,50,6.8,1578,3
2,5,0,2,100,8.5,1891,3
